symbol_1,symbol_2,pubmed_ids
BRK1,UBC,22871113
FN1,THBS4,10956668
ANK2,SPTBN1,14593108
LTI30,PRKCG,21665998
SLC20A1,UBC,22871113
BDNF,NTRK2,1645620
DYNLL1,NOS1,14760703
RAD23B,RPN1,19182904
RAD23B,RPN2,19182904
DIABLO,XIAP,24305822
AIP,RET,19366855
ITPR1,SLC8A1,14593108
RARA,SENP6,19850744
GPSM1,USP9X,20305814
ITCH,OCLN,15605377
HSPA4,RAD23B,19182904
GRB2,SHC1,12167719;9722539;9918770;7953556
CLTC,NCALD,11964161
AHCY,UBC,22871113
AGTR1A,HTR2B,19023134
AP3B2,PI4K2A,23146885
IKBIP,UBC,22871113
GAP43,PRKCD,8694767
GAP43,PRKCE,8694767
UBC,USP24,22871113
NCOA3,SSX1,21454665
GAP43,PRKCB,8694767
NLGN2,SHANK1,15458844
DNM1,NME2,11872741
PPP3R1,UBC,22871113
CUL4A,UBC,22871113
CASKIN1,SYT1,19523119
SYT13,UBC,22871113
UBC,XIAP,14526223
ARHGAP35,RASA1,7503985
MAGI2,UBC,22871113
TRAPPC3,UBC,22871113
GRM7,PIAS3,21288202
CAMK2D,GRIN2B,12147342
CAMK2D,GRIN2A,12147342
LDHB,UBC,22871113
TTYH3,UBC,22871113
GMEB2,UBE2I,11812797
MAD1L1,MAD2L1,22100920
JPH4,UBC,22871113
SPG20,SQSTM1,21707618
DNM1,SH3GL2,14704270
GABRG2,PRKCG,1321150
CABP1,CAMK2G,10625670
SQSTM1,ZFP110,16252010
MAP1B,SPP1,22779921
BIN1,CLTA,11382783
BIN1,CLTC,11382783
GNAI3,NUCB1,9647645
HDAC1,RELA,17082476
SNCB,UBC,22871113
IRS2,PIK3R2,11120660
ARRB1,TRHR,11278883;12393857
IRS2,JAK2,12960006
RABEP1,UBC,22871113
CDC42,TNK2,10618719
SCN8A,UBC,22871113
CLIP2,DYNLL1,14760703
NRAS,RGS12,17380122
SLC8A2,UBC,22871113
ATF4,NFE2L2,11274184
BCAR1,PTPN11,9832615
EPN1,TUBA1A,12750376
CBL,GRB2,9918770
ERLIN2,ITPR1,17502376
CBL,EGFR,20029031;8550620
GRIN2D,NEDD4,23639431
FKBP4,MAPT,20133804
ATP6V0A1,UBC,22871113
CBL,UBC,20029031
EP300,ZFPM2,15220332
DNM1,SORBS1,19116150
DNM1,SORBS2,15659545
CBX2,CSNK2B,20493168
MFAP4,SFTPD,10542261
COASY,RPS6KB1,15589845
SCNN1A,UBC,16099816
CDC37,STK11,12489981
DYNC2H1,UBC,22871113
EEF1A2,PLCB1,23665500
CAV1,NF1,16405917
ITSN1,SYNJ1,9813051
CHKB,UBC,22871113
SNAP23,STX1B,10825299
ITPR1,VCP,16103111
DGKZ,RB1,16286473
INSR,UBC,22871113
PSMC2,RAD23A,20178748
GFAP,UBC,22871113
MAP2K2,PRKCZ,8026469
PRMT5,UBC,22871113
DDN,MAGI2,16751601
GPS2,NR0B2,17895379
NGFR,NTRK2,19549834
STX8,UBC,22871113
CSNK2A1,LBR,8598227
CACNA1A,GNB1,15953418
PGAM1,UBC,22871113
KCNJ1,UBC,15767585
AKAP5,GRIA1,10939335
AKT1,SH2B2,16141217
EEF2,UBC,22871113
PI4K2A,USP9X,23146885
FAF1,UBC,22871113
CEBPB,EP300,15722556;15669015;20452968
NFKBIA,PRKCZ,8026469
CELF2,UBC,22871113
SYN2,UBC,22871113
LOC366310,XPO1,15574332
TCP1,UBC,22871113
CD47,UBC,22871113
GM2A,PLD2,11672434
GNAO1,UBC,22871113
NEDD4L,SLC12A3,24920754
FAM49B,UBC,22871113
RARA,YBX1,22337869
RUNX3,VDR,20236534
KIF3A,SQSTM1,21707618
CAMK2D,SRF,10753652
CCND1,OAZ1,15277517
SLC16A1,UBC,22871113
FKBP1A,UBC,22871113
HOMER1,ITPR1,9808459
CASKIN1,NCK1,19523119
MATR3,UBC,22871113
PARK2,TARDBP,23258539
ANXA6,RASA1,8798684
KCNA1,UBC,22871113
CTNND1,MIB1,25931508
EPS15,FCHO1,19713939
GJA1,WAS,12431372
BAG1,HSPA8,14978028
PLCB1,UBC,19347873;22871113
BAG1,HSPA4,16116448
ALOX12,NCF1,16040349
IDH1,KATNA1,23904609
DACT2,VANG,21718540
HGS,SNAP23,10510169;10825299
SQSTM1,SUMO1,21707618
PRKCD,SERPINE1,19246637
HGS,SNAP25,10510169;10825299
LOC680955,UBC,22871113
RAD23A,UBC,22871113
SCN2A,UBC,22871113
MAPK1,MBP,9722539
DLGAP3,SHANK3,10433269
PML,RBCK1,15833741
GOLGA7,UBC,22871113
RABEP2,UBC,22871113
DLG4,MDM2,14642282
TECR,UBC,22871113
GP1BB,UBC,22871113
AP2A1,DNM1,9259551;16903783
AP2A1,DNM2,16903783
AP2A1,DNM3,16903783
TCEB1,TCEB2,11384984;10224134
TCEB1,TCEB3,19037258
SRCIN1,SYP,18662323
UBC,ZWINT,22871113
CNTNAP2,KCNAB2,10624965
CSNK2A1,PUF6,18413716
GRM2,RANBP9,18555800
CDK2,CDKN1A,9811456
CDK2,CDKN1B,9811456
ATXN3,TUBB2B,19666135
ADRB2,UBC,16368719
KCNA3,MMP23,23300077
CDK1,HIST1H1A,9344597
PRKACA,WASF1,10970852
NLGN2,SHANK3,15458844
AKT1,BAG1,16116448
KCNA5,RAB11A,19706553
VAMP8,VTI1A,11101518
SLCO1C1,UBC,22871113
UBC,VPS45,22871113
AKT1,BRAF,16116448
HES1,SFPQ,15607978
CDK4,KRAS,11384971
CUL5,TCEB3,11384984;19037258
CUL5,TCEB2,19037258
PSMD4,TUBG1,23831032
OPTN,RAB8A,24683533
LIN7A,UBC,22871113
PRKCD,UBC,9447980;22871113
CCNE1,MI,19723762
GLUL,UBC,22871113
EPB41L2,UBC,22871113
ADRM1,RAD23B,19182904
FCHO2,UBA1,20448150
ARF6,PEX3,19686593
NBL1,UBQLN1,9268694
NFASC,SDCBP,11152476
ARPC1A,UBC,22871113
BCL2L1,MDM2,17060322
FBXL22,SKP1,22972877
HIST1H1A,PRKCB,11118818
HIST1H1A,PRKCA,11118818
HIST1H1A,PRKCG,3111527
BAK1,BAX,11850803
HIST1H1A,PRKCD,11118818
HTR2A,UBC,22871113
SNCA,USP9X,22065755
FBXO2,GRIN1,15809437
ANXA7,PRKCA,11278415
NBR1,TRIM63,15802564
PPP1R9A,RAC3,16525025
CRY2,UBC,22871113
CLK2,SAFB,9671816
IRS1,JAK2,12960006
HDAC6,TUBB5,19961433
DSTYK,UBC,22871113
GRB2,INSR,7953556
BATF3,PGR,12101239
AKAP9,UBE2I,21616059
ID1,PSMD4,23831032
HSPA8,KATNA1,23904609
GOPC,NLGN1,15458844
GOPC,NLGN2,15458844
EPS15,MOB4,11872741
FGF1,FGFR2,11042206
ATP1A2,SLC8A1,14593108
CAV3,NOS1,9353265
APOD,LEPR,11344130
APC,MACF1,16815997
CDC27,FZR1,22949615
CSNK2B,RPS6KB1,16895915
GARS,UBC,22871113
ARC,TFPT,10644725
RAD23B,TNNC2,19182904
BRAF,HRAS,9679960
CREB1,HSPA1A,16207717
TSC1,TSC2,12147258;10807585
HIST3H2A,RNF4,11319220
CAMK2G,UBC,22871113
ARCN1,INSR,25687571
GRIA2,PICK1,15458844;24749734
CAPZA1,DAB1,18076569
CBL,IRS1,19546233
HDAC3,HR,12403844
ARL8A,UBC,22871113
EGFR,GRB2,12218049
EP300,TNP2,19710011
SHANK3,SHARPIN,23897824
AP2A2,DNM1,10430869
DLG4,KLHL17,12063253
LOC680063,UBC,22871113
